Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-15T18:38:30.393Z","Included","gemini-3-flash-preview","No","0","8352","275263","1919","285534","0.02"
"2026-01-15T18:32:58.475Z","Included","gemini-3-flash-preview","No","0","11157","171528","4652","187337","0.03"
"2026-01-15T18:30:46.683Z","Included","gemini-3-flash-preview","No","0","102501","427438","3511","533450","0.08"
"2026-01-15T18:27:08.976Z","Errored, No Charge","gemini-3-flash-preview","Yes","0","277972","463288","5273","746533","0.21"
"2026-01-15T18:26:14.851Z","Included","gemini-3-flash-preview","Yes","0","138820","0","6750","145570","0.11"
"2026-01-15T17:32:21.869Z","Errored, No Charge","gemini-3-flash-preview","Yes","0","190213","872569","9344","1072126","0.20"
"2026-01-15T17:30:00.902Z","Included","gemini-3-flash-preview","No","0","147757","945819","9863","1103439","0.19"
"2026-01-15T17:29:47.637Z","Errored, No Charge","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-15T17:29:43.789Z","Errored, No Charge","gemini-3-flash-preview","No","0","119684","11817","29","131530","0.06"
"2026-01-15T17:27:10.414Z","Errored, No Charge","gemini-3-flash-preview","No","0","228094","285106","1480","514680","0.13"
"2026-01-15T17:25:06.706Z","Errored, No Charge","gemini-3-flash-preview","No","0","199881","809242","5887","1015010","0.20"
"2026-01-15T17:23:54.239Z","Errored, No Charge","gemini-3-flash-preview","No","0","124647","11992","188","136827","0.06"
"2026-01-15T17:23:49.011Z","Errored, No Charge","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-15T17:22:16.368Z","Included","gemini-3-flash-preview","No","0","32519","751738","3408","787665","0.06"
"2026-01-15T17:20:23.026Z","Included","gemini-3-flash-preview","No","0","17328","565732","2355","585415","0.04"
"2026-01-15T17:18:37.002Z","Included","gemini-3-flash-preview","No","0","559249","2819605","11052","3389906","0.45"
"2026-01-15T17:18:23.130Z","Errored, No Charge","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-15T17:17:17.365Z","Errored, No Charge","gemini-3-flash-preview","No","0","123397","11639","37","135073","0.06"
"2026-01-15T17:17:09.100Z","Included","gemini-3-flash-preview","No","0","182904","289503","3587","475994","0.12"
"2026-01-15T17:16:53.010Z","Included","gemini-3-flash-preview","No","0","46535","1094582","2866","1143983","0.09"
"2026-01-15T17:15:22.737Z","Included","gemini-3-flash","No","0","52783","320534","2448","375765","0.05"
"2026-01-15T17:14:44.943Z","Included","gemini-3-flash-preview","No","0","26058","195133","4694","225885","0.04"
"2026-01-15T17:13:51.154Z","Included","gemini-3-flash-preview","No","0","39738","325703","4904","370345","0.05"
"2026-01-15T17:10:54.459Z","Included","gemini-3-flash-preview","No","0","135446","871179","5699","1012324","0.15"
"2026-01-15T17:09:55.870Z","Included","gemini-3-flash-preview","No","0","62862","590344","2789","655995","0.07"
"2026-01-15T16:47:51.551Z","Included","gemini-3-flash-preview","No","0","21593","112178","1791","135562","0.02"
"2026-01-15T16:45:52.445Z","Included","gemini-3-flash-preview","No","0","32855","99471","1349","133675","0.03"
"2026-01-15T16:45:39.040Z","Errored, No Charge","gemini-3-flash-preview","No","0","547508","1011482","4320","1563310","0.34"
"2026-01-15T16:44:02.542Z","Errored, No Charge","gemini-3-flash-preview","No","0","22141","28147","176","50464","0.01"
"2026-01-15T16:39:15.271Z","Included","gemini-3-flash-preview","No","0","485567","2161743","20352","2667662","0.38"
"2026-01-15T16:38:52.964Z","Errored, No Charge","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-15T16:38:35.745Z","Included","gemini-3-flash","No","0","415877","5322899","14425","5753201","0.52"
"2026-01-15T16:36:28.131Z","Included","gemini-3-flash-preview","No","0","88105","480324","1517","569946","0.07"
"2026-01-15T16:35:54.531Z","Included","gemini-3-flash","No","0","18022","0","2908","20930","0.02"
"2026-01-15T16:34:52.139Z","Included","gemini-3-flash","No","0","23407","13171","4038","40616","0.02"
"2026-01-15T16:33:50.611Z","Included","gemini-3-flash","No","0","33484","77782","2410","113676","0.03"
"2026-01-15T16:33:26.152Z","Included","gemini-3-flash-preview","No","0","293484","1745408","9983","2048875","0.26"
"2026-01-15T16:33:07.730Z","Included","gemini-3-flash-preview","No","0","314113","1255425","11215","1580753","0.25"
"2026-01-15T16:31:21.242Z","Included","gemini-3-flash-preview","No","0","148676","102453","4856","255985","0.09"
"2026-01-15T16:30:27.959Z","Included","gemini-3-flash-preview","No","0","431752","674875","5970","1112597","0.27"
"2026-01-15T16:28:44.226Z","Included","gemini-3-flash-preview","No","0","51352","1108546","5334","1165232","0.10"
"2026-01-15T16:24:20.591Z","Included","gemini-3-flash-preview","No","0","229014","1935729","10037","2174780","0.24"
