Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-07T11:42:54.251Z","Included","gemini-3-flash","No","0","0","0","0","0","0.00"
"2026-01-07T11:42:38.834Z","Included","gemini-3-flash","No","0","0","0","0","0","0.00"
"2026-01-07T11:42:15.886Z","Included","gemini-3-flash","No","0","2777","8688","3180","14645","0.01"
"2026-01-07T11:41:54.423Z","Included","gemini-3-flash","No","0","2627","8645","2877","14149","0.01"
"2026-01-07T11:41:38.663Z","Included","gemini-3-flash","No","0","11597","0","1925","13522","0.01"
"2026-01-07T11:41:07.084Z","Included","gemini-3-flash","No","0","11169","0","4876","16045","0.02"
"2026-01-07T11:40:48.153Z","Included","gemini-3-flash","No","0","11437","0","2513","13950","0.01"
"2026-01-07T11:40:21.491Z","Included","gemini-3-flash","No","0","11036","0","3563","14599","0.02"
"2026-01-07T11:39:57.957Z","Included","gemini-3-flash","No","0","12097","0","3106","15203","0.02"
"2026-01-07T11:39:45.773Z","Included","gemini-3-flash","No","0","137445","1612037","16243","1765725","0.20"
"2026-01-07T11:39:35.997Z","Included","gemini-3-flash","No","0","2581","8632","2889","14102","0.01"
"2026-01-07T11:39:23.150Z","Included","gemini-3-flash","No","0","4348","9076","1192","14616","0.01"
"2026-01-07T11:38:58.518Z","Included","gemini-3-flash","No","0","11207","0","3417","14624","0.02"
"2026-01-07T11:38:45.772Z","Included","gemini-3-flash","No","0","45618","229446","2539","277603","0.04"
"2026-01-07T11:38:34.405Z","Included","gemini-3-flash","No","0","11485","0","3472","14957","0.02"
"2026-01-07T11:38:03.729Z","Included","gemini-3-flash","No","0","2471","8599","4562","15632","0.02"
"2026-01-07T11:37:46.779Z","Included","gemini-3-flash","No","0","46892","256684","4282","307858","0.05"
"2026-01-07T11:37:44.440Z","Included","gemini-3-flash","No","0","10539","0","2374","12913","0.01"
"2026-01-07T11:37:25.166Z","Included","gemini-3-flash","No","0","11637","0","2382","14019","0.01"
"2026-01-07T11:37:06.318Z","Included","gemini-3-flash","No","0","11323","0","2321","13644","0.01"
"2026-01-07T11:36:37.370Z","Included","gemini-3-flash","No","0","11323","0","4140","15463","0.02"
"2026-01-07T11:36:15.397Z","Included","gemini-3-flash","No","0","58937","327973","6776","393686","0.07"
"2026-01-07T11:36:10.610Z","Included","gemini-3-flash","No","0","11513","0","3839","15352","0.02"
"2026-01-07T11:35:35.674Z","Included","gemini-3-flash","No","0","10257","0","4736","14993","0.02"
"2026-01-07T11:34:55.968Z","Included","gemini-3-flash","No","0","68173","473916","6049","548138","0.08"
"2026-01-07T11:34:09.659Z","Included","auto","No","42479","0","118528","608","161615","0.09"
"2026-01-07T11:32:37.455Z","Included","gemini-3-flash","No","0","102526","761371","10518","874415","0.12"
"2026-01-07T11:31:03.502Z","Included","gemini-3-flash","No","0","63011","326705","4759","394475","0.06"
"2026-01-07T11:29:34.037Z","Included","auto","No","74274","0","1068032","5261","1147567","0.39"
"2026-01-07T11:28:06.814Z","Included","auto","No","11504","0","93184","1065","105753","0.04"
"2026-01-07T11:27:07.637Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2026-01-07T11:26:44.988Z","Included","auto","No","8471","876","41984","933","52264","0.03"
"2026-01-07T11:23:31.964Z","Included","auto","No","18099","0","50176","1320","69595","0.04"
"2026-01-07T11:01:26.514Z","Included","gemini-3-flash","No","0","562684","6697819","24193","7284696","0.69"
"2026-01-07T10:59:58.994Z","Included","auto","No","682","0","25344","108","26134","0.01"
"2026-01-07T10:58:44.768Z","Included","auto","No","5560","0","39168","1104","45832","0.02"
"2026-01-07T10:58:42.284Z","Included","gemini-3-flash","No","0","117653","1047466","9918","1175037","0.14"
"2026-01-07T10:58:07.135Z","Included","gemini-3-flash","No","0","36299","63887","3688","103874","0.03"
"2026-01-07T10:58:06.683Z","Included","auto","No","1261","0","142336","329","143926","0.04"
"2026-01-07T10:56:31.022Z","Included","gemini-3-flash","No","0","56461","330196","8440","395097","0.07"
"2026-01-07T10:55:20.912Z","Included","gemini-3-flash","No","0","31724","200912","5331","237967","0.04"
"2026-01-07T10:53:35.846Z","Included","gemini-3-flash","No","0","74928","594422","6878","676228","0.09"
"2026-01-07T10:52:05.291Z","Included","gemini-3-flash","No","0","77554","467335","3671","548560","0.07"
"2026-01-07T10:50:58.424Z","Included","auto","No","40469","0","99584","865","140918","0.08"
"2026-01-07T10:50:21.460Z","Included","gemini-3-flash","No","0","60797","402764","9753","473314","0.08"
"2026-01-07T10:49:21.765Z","Included","gemini-3-flash","No","0","53581","182294","3882","239757","0.05"
"2026-01-07T10:48:03.704Z","Included","gemini-3-flash","No","0","67339","317288","5673","390300","0.07"
"2026-01-07T10:47:53.267Z","Included","auto","No","10825","0","722688","2065","735578","0.21"
"2026-01-07T10:47:15.086Z","Included","gemini-3-flash","No","0","24435","53155","3910","81500","0.03"
"2026-01-07T10:45:07.712Z","Included","gemini-3-flash","No","0","75177","677502","11038","763717","0.10"
"2026-01-07T10:44:30.076Z","Included","auto","No","30712","0","152320","1007","184039","0.08"
"2026-01-07T10:43:19.073Z","Included","gemini-3-flash","No","0","125766","1055659","6867","1188292","0.14"
"2026-01-07T10:41:40.242Z","Included","gemini-3-flash","No","0","75782","496861","8059","580702","0.09"
"2026-01-07T10:39:29.257Z","Included","auto","No","503","0","59648","127","60278","0.02"
"2026-01-07T10:39:04.903Z","Included","gemini-3-flash","No","0","119914","905905","13291","1039110","0.15"
"2026-01-07T10:38:01.809Z","Included","gemini-3-flash","No","0","54545","267205","5547","327297","0.06"
"2026-01-07T10:34:20.375Z","Included","gemini-3-flash","No","0","138953","1608632","14270","1761855","0.19"
"2026-01-07T10:33:14.671Z","Included","gemini-3-flash","No","0","51989","323842","4189","380020","0.05"
"2026-01-07T10:32:35.630Z","Included","gemini-3-flash","No","0","34850","105781","3997","144628","0.03"
"2026-01-07T10:26:31.611Z","Included","gemini-3-flash","No","0","129298","851758","11992","993048","0.14"
"2026-01-07T10:25:10.671Z","Included","gemini-3-flash","No","0","57483","318920","5514","381917","0.06"
"2026-01-07T10:24:37.478Z","Included","auto","No","23302","0","44544","774","68620","0.04"
"2026-01-07T10:23:30.135Z","Included","auto","No","21691","0","280064","1481","303236","0.11"
"2026-01-07T10:21:10.192Z","Included","auto","No","21775","0","301568","2662","326005","0.12"
"2026-01-07T10:20:42.284Z","Included","auto","No","16733","0","35840","592","53165","0.03"
"2026-01-07T10:16:38.336Z","Included","gemini-3-flash","No","0","185575","1517490","14409","1717474","0.21"
"2026-01-07T10:15:40.853Z","Included","gemini-3-flash","No","0","44979","173452","4348","222779","0.04"
"2026-01-07T10:13:32.735Z","Included","auto","No","1253","0","207360","446","209059","0.06"
"2026-01-07T10:08:26.280Z","Included","gemini-3-flash","No","0","167372","1633502","16118","1816992","0.21"
"2026-01-07T10:07:39.583Z","Included","gemini-3-flash","No","0","41892","95357","4719","141968","0.04"
"2026-01-07T10:02:04.423Z","Included","gemini-3-flash","No","0","181333","1099417","15757","1296507","0.19"
"2026-01-07T10:00:03.055Z","Included","gemini-3-flash","No","0","107245","357406","4672","469323","0.09"
"2026-01-07T09:59:43.333Z","Included","gemini-3-flash","No","0","19146","55317","1552","76015","0.02"
"2026-01-07T09:55:13.054Z","Included","gemini-3-flash","No","0","201254","820264","16042","1037560","0.19"
"2026-01-07T09:51:02.397Z","Included","gemini-3-flash","No","0","177366","1144671","7561","1329598","0.17"
"2026-01-07T09:50:27.481Z","Included","gemini-3-flash","No","0","41013","107733","2431","151177","0.03"
"2026-01-07T09:48:22.126Z","Included","gemini-3-flash","No","0","96057","365009","5583","466649","0.08"
"2026-01-07T09:46:37.938Z","Included","gemini-3-flash","No","0","113775","391372","5059","510206","0.09"
"2026-01-07T09:43:58.073Z","Included","auto","No","34176","0","139520","3087","176783","0.10"
"2026-01-07T09:43:06.621Z","Included","gemini-3-flash","No","0","125343","612594","5963","743900","0.11"
"2026-01-07T09:41:41.963Z","Included","gemini-3-flash","No","0","78269","414079","4448","496796","0.07"
"2026-01-07T09:41:12.714Z","Included","auto","No","97725","0","760064","9338","867127","0.37"
"2026-01-07T09:36:00.457Z","Included","gemini-3-flash","No","0","148340","1369716","10438","1528494","0.17"
"2026-01-07T09:34:23.403Z","Included","gemini-3-flash","No","0","65695","354071","6705","426471","0.07"
"2026-01-07T09:31:36.243Z","Included","gemini-3-flash","No","0","128035","1067037","12962","1208034","0.16"
"2026-01-07T09:30:42.017Z","Included","gemini-3-flash","No","0","56081","167023","4324","227428","0.05"
"2026-01-07T09:22:49.518Z","Included","gemini-3-flash","No","0","206358","2201164","18579","2426101","0.27"
"2026-01-07T09:21:45.675Z","Included","gemini-3-flash","No","0","53128","330200","3101","386429","0.05"
"2026-01-07T09:17:39.536Z","Included","gemini-3-flash","No","0","302940","2260051","11757","2574748","0.30"
"2026-01-07T09:11:49.956Z","Included","gemini-3-flash","No","0","210332","2936041","20976","3167349","0.31"
"2026-01-07T09:08:45.134Z","Included","gemini-3-flash","No","0","155096","907705","8514","1071315","0.15"
"2026-01-07T09:05:38.628Z","Included","auto","No","73021","0","82688","601","156310","0.12"
"2026-01-07T09:04:41.957Z","Included","gemini-3-flash","No","0","126704","1682661","22860","1832225","0.22"
"2026-01-07T09:03:42.561Z","Included","gemini-3-flash","No","0","39893","248754","2480","291127","0.04"
"2026-01-07T09:03:14.434Z","Included","gemini-3-flash","No","0","35656","89583","1696","126935","0.03"
"2026-01-07T08:59:54.277Z","Included","gemini-3-flash","No","0","198667","1027444","19118","1245229","0.21"
"2026-01-07T08:59:34.895Z","Included","auto","No","75542","0","1026560","13876","1115978","0.43"
"2026-01-07T08:58:28.228Z","Included","gemini-3-flash","No","0","118787","333813","5616","458216","0.09"
"2026-01-07T08:54:53.183Z","Included","gemini-3-flash","No","0","104670","961469","25117","1091256","0.18"
"2026-01-07T08:53:50.277Z","Included","auto","No","50324","0","166912","3287","220523","0.12"
"2026-01-07T08:53:16.274Z","Included","gemini-3-flash","No","0","107363","656821","6394","770578","0.11"
"2026-01-07T08:50:57.355Z","Included","gemini-3-flash","No","0","82421","629630","12402","724453","0.11"
"2026-01-07T08:50:00.687Z","Included","gemini-3-flash","No","0","61158","291806","2815","355779","0.05"
"2026-01-07T08:49:07.381Z","Included","gemini-3-flash","No","0","63247","221746","3339","288332","0.05"
"2026-01-07T08:44:49.551Z","Included","gemini-3-flash","No","0","217269","1952736","16619","2186624","0.26"
"2026-01-07T08:43:22.344Z","Included","gemini-3-flash","No","0","63040","463381","5265","531686","0.07"
"2026-01-07T08:41:14.945Z","Included","gemini-3-flash","No","0","72816","550743","11328","634887","0.10"
"2026-01-07T08:39:49.669Z","Included","gemini-3-flash","No","0","63595","402206","6116","471917","0.07"
"2026-01-07T08:38:57.168Z","Included","auto","No","36155","0","23552","1287","60994","0.06"
"2026-01-07T08:38:15.902Z","Included","gemini-3-flash","No","0","66238","445265","7716","519219","0.08"
